Player,Team,GP,MPG,FGM,FGA,FG%,THPM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG,DRAFT
Romello White,ASU,34,25,3.3,5.6,0.598,0,0,0,2.1,3.6,0.579,1.3,3.1,2.3,2.9,5.2,0.3,0.4,0.7,8.7,0
Kimani Lawrence,ASU,34,25.1,2.9,6.9,0.419,1,3.1,0.314,1.8,2.4,0.747,1.4,2.6,1.1,2.4,3.5,1.3,0.6,0.2,8.6,0
Parker Van Dyke,U of U,31,24.2,2.9,6.7,0.431,2.3,5.7,0.409,0.4,0.5,0.786,0.9,1.8,0.1,1.3,1.4,1.7,0.9,0.1,8.5,0
Ryan Luther,U of A,32,24.9,3.1,7,0.44,1.4,3.8,0.375,0.8,1.1,0.765,1.2,2.5,1.8,2.5,4.3,1.2,0.8,0.2,8.4,0
Shaqquan Aaron,USC,33,27.7,3.1,6.9,0.447,0.9,2.5,0.369,1.2,1.8,0.633,1.4,2.6,1,3.3,4.3,2.3,0.8,0.3,8.3,0
Evan Battey,CU,36,21.4,2.9,6.1,0.482,0.1,0.4,0.188,2.2,3.1,0.705,1,3,1.9,2.5,4.4,1.2,0.5,0.3,8.1,0
Nahziah Carter,UW,36,20.5,3,6.3,0.478,0.6,2,0.31,1.4,2.2,0.637,1,1.9,1,1.5,2.4,0.9,0.4,0.2,8.1,0
Marvin Cannon,WSU,32,21.5,2.2,5.2,0.436,0.6,1.7,0.333,2.9,3.4,0.844,1.2,1.6,1.1,2.3,3.4,0.6,0.5,0.7,7.9,0
Both Gach,U of U,30,20.1,2.6,5.4,0.472,1,3.2,0.316,1.6,1.9,0.857,1.7,1.3,0.5,1.5,2.1,2.1,0.5,0.1,7.7,0
Kylor Kelley,OSU,31,23.5,3.2,4.9,0.654,0,0,0,1.2,2,0.613,1,2.3,1.5,3.4,5,0.4,0.3,3.4,7.7,0
Derryck Thornton,USC,32,27.8,3,7.8,0.382,0.6,2,0.286,1.1,1.7,0.66,2,1.9,0.4,2.3,2.8,4.3,1.2,0.1,7.7,0
Jules Bernard,UCLA,33,17.2,2.5,5.3,0.469,0.7,1.9,0.371,2,2.7,0.739,1.5,2.1,0.8,2.3,3.1,0.8,0.5,0.1,7.6,0
Connor Vanover,Cal,28,17.5,3,6.3,0.469,1,2.7,0.355,0.6,0.9,0.667,0.6,1.4,0.8,2.2,3,0.2,0.2,1.2,7.5,0
"Victor Bailey, Jr.",UO,37,19.1,2.5,6,0.413,1.3,3.2,0.398,1.1,1.2,0.911,0.8,1.1,0.4,1.6,2,0.9,0.6,0,7.4,0
Ahmed Ali,WSU,32,21.2,2.4,6.4,0.373,1.4,4.3,0.326,1.2,1.4,0.826,1.2,2.2,0.6,1.3,1.8,2.9,0.7,0,7.3,0
Dylan Smith,U of A,32,24.5,2.3,6.9,0.341,1.4,4.1,0.351,1.1,1.4,0.739,1.7,2.2,0.4,3.3,3.7,1.1,0.6,0.3,7.2,0
Jayce Johnson,U of U,29,21.9,3,5,0.597,0,0,0,1.2,2.9,0.4,1.2,3,2.6,5.1,7.7,0.5,0.3,1.1,7.1,0
Ira Lee,U of A,31,17.8,2.6,4.3,0.617,0,0.1,0,1.3,2.1,0.641,1.2,2.3,1.5,2.7,4.2,0.5,0.2,0.7,6.6,0
Riley Battin,U of U,31,20.1,2.4,4.9,0.483,0.9,2.4,0.36,0.8,1.1,0.686,0.9,1.6,0.8,2.6,3.4,1.2,0.2,0,6.4,0
Kenny Wooten,UO,34,24,2.5,4.3,0.589,0,0,0,1.3,1.9,0.672,1.4,2.6,1.4,3.4,4.8,0.6,0.4,2.1,6.3,0
Chris Smith,UCLA,33,19.6,2.3,5.6,0.405,0.5,1.7,0.281,1.2,1.7,0.719,1.4,1.7,0.6,3.1,3.7,1.3,0.4,0.3,6.3,0
Andre Kelly,Cal,31,19.6,2.3,4.1,0.551,0.1,0.1,0.667,1.7,2.4,0.703,0.9,2.3,1.1,2.7,3.7,0.2,0.5,0.5,6.3,0
Viont'e Daniels,WSU,24,24.5,2,4.8,0.414,1.5,3.7,0.404,0.7,0.8,0.944,1,1.5,0.2,1.5,1.8,2.7,0.5,0.2,6.2,0
Dominic Green,UW,36,22.6,2.1,5.8,0.357,1.6,4.7,0.351,0.4,0.5,0.778,0.8,1.1,0.6,2,2.7,0.7,0.6,0.2,6.1,0
Will Richardson,UO,38,24.3,2.1,4.5,0.468,0.4,1.4,0.278,1.4,2.1,0.675,1.7,1.8,0.6,1.7,2.4,2.5,1.1,0.2,6,0
Bryce Wills,SU,30,25.1,2.2,5.2,0.426,0.3,1,0.267,1.3,2.4,0.556,2.2,1.9,0.8,2.8,3.5,2,1,0.6,6,0
Carter Skaggs,WSU,25,16.7,1.9,4.9,0.385,1.6,4.4,0.358,0.7,0.8,0.895,0.8,0.7,0.2,1.5,1.7,0.7,0.3,0.1,6,0
Ehab Amin,UO,37,17.9,2.1,5.6,0.374,0.9,2.8,0.317,0.8,1.3,0.646,1,1.9,0.6,2.5,3.1,1.2,1.5,0.1,5.9,0
Taeshon Cherry,ASU,30,17.4,2.1,5.4,0.391,1.3,3.9,0.345,0.3,0.5,0.714,0.5,2.3,0.5,2.1,2.6,0.3,0.6,0.2,5.9,0
Marcus Sheffield,SU,27,16,1.9,4.7,0.402,1.1,3.1,0.357,0.7,0.8,0.864,0.7,1.2,0.3,1,1.2,0.6,0.5,0.1,5.6,0
Daylen Kountz,CU,36,17.1,2,4.6,0.433,0.4,1.4,0.308,1.2,1.8,0.646,1.1,1.3,0.1,1.3,1.4,1.3,0.4,0.1,5.6,0
Cody Riley,UCLA,30,17.5,2.1,4.4,0.474,0.2,0.7,0.3,1.1,2.2,0.523,1.4,2.3,0.9,3.2,4.1,0.7,0.3,0.4,5.5,0
David Singleton,UCLA,32,17.5,1.7,3.7,0.449,1.1,2.3,0.467,0.8,1.2,0.684,0.4,1,0.1,1.1,1.2,1,0.5,0.2,5.2,0
Gligorije Rakocevic,OSU,26,15.2,2.1,3.5,0.593,0,0.2,0.2,1,1.3,0.714,0.6,2.1,1.3,1.5,2.8,0.1,0.2,0.4,5.2,0
Elijah Weaver,USC,28,20.5,1.9,4.5,0.421,0.8,2.2,0.355,0.6,0.8,0.762,1.7,1.5,0.4,1.3,1.7,2.4,0.6,0.1,5.1,0
Alfred Hollins,OSU,31,21.2,1.7,4.5,0.377,0.4,1.7,0.231,1,1.7,0.604,1.5,1.9,1.1,2.6,3.7,1.2,0.6,0.2,4.8,0
Jeff Pollard,WSU,29,18,1.9,3.2,0.591,0.1,0.3,0.3,0.9,1.1,0.781,0.7,1.4,0.8,1.7,2.6,0.6,0.4,0.1,4.8,0
Jervae Robinson,WSU,32,18.1,1.8,4.8,0.375,0.6,2.1,0.288,0.5,0.7,0.682,1.3,1.6,0.2,1.2,1.4,1.9,0.4,0,4.6,0
Jalen Hill,UCLA,33,20.3,1.5,2.6,0.563,0,0,0,1.3,2,0.677,1.1,2.1,1.9,4.2,6,1.2,0.4,0.4,4.3,0
Emmanuel Akot,U of A,17,19.3,1.5,3.9,0.394,0.4,1.2,0.286,0.4,0.9,0.4,0.9,1.2,0.5,2.3,2.8,1.1,0.2,0.1,3.8,0
Zach Reichle,OSU,31,19.1,0.9,3.1,0.302,0.8,2.4,0.324,0.8,1.1,0.765,1,1.9,0.4,1.6,2,1.4,0.5,0,3.5,0
Juhwan Harris-Dyson,Cal,30,16,1.4,3.4,0.402,0,0.3,0,0.7,1.3,0.553,1.1,2.6,0.6,1.4,2,1,0.8,0.3,3.4,0
Hameir Wright,UW,32,17.9,0.9,3.3,0.271,0.4,1.8,0.241,0.5,0.8,0.708,1.1,2.8,0.6,1.8,2.3,0.9,0.5,1.4,2.8,0
Grant Williams,UT,37,31.9,6.3,11.2,0.564,0.4,1.2,0.326,5.8,7,0.819,2.2,3,2.2,5.3,7.5,3.2,1.1,1.5,18.8,1
Quinndary Weatherspoon,MSU,34,34,6.3,12.3,0.508,1.6,4.1,0.396,4.4,5.4,0.809,2.9,2.1,1.3,3.4,4.7,2.8,1.7,0.3,18.5,1
Breein Tyree,UM,33,33.8,6,13,0.459,2.1,5.6,0.375,3.9,4.7,0.831,2.4,2,0.3,2.6,2.9,2.8,1,0.4,17.9,0
Daniel Gafford,U of A,32,28.7,6.7,10.1,0.66,0,0,0,3.6,6,0.591,2.4,2.8,2.8,5.8,8.7,0.7,0.9,2,16.9,1
Admiral Schofield,UT,37,31.8,6.4,13.6,0.474,2,4.8,0.418,1.6,2.3,0.698,1.9,2.5,1.2,5,6.1,2,0.9,0.5,16.5,1
Darius Garland,VU,5,27.8,5.8,10.8,0.537,2.2,4.6,0.478,2.4,3.2,0.75,3,1.4,0.4,3.4,3.8,2.6,0.8,0.4,16.2,1
Bryce Brown,AU,40,32,5.1,11.7,0.437,3.5,8.6,0.41,2.2,2.7,0.807,1.6,1.4,0.5,1.6,2.1,1.9,1.1,0.1,15.9,0
Jared Harper,AU,40,32.9,4.6,11.5,0.399,2.5,6.6,0.37,3.7,4.5,0.828,2.4,1.8,0.3,2.2,2.5,5.8,1.1,0.1,15.3,0
Tremont Waters,LSU,33,32.4,5.2,12.1,0.43,1.7,5.2,0.327,3.2,3.9,0.812,3.5,1.9,0.3,2.5,2.8,5.8,2.9,0.1,15.3,1
Chris Silva,USC,32,26.8,4.7,9.2,0.508,0.7,1.4,0.5,5.1,6.8,0.744,2.3,3.6,2.7,5,7.6,0.9,0.9,1.9,15.2,0
Terence Davis,UM,33,31,5.4,12.2,0.444,2,5.3,0.371,2.4,3.1,0.772,2.8,2.7,1.1,4.7,5.8,3.5,1.6,0.6,15.2,0
P.J. Washington,UK,35,29.3,5.4,10.4,0.522,0.9,2.2,0.423,3.4,5.1,0.663,2,2.5,2.3,5.2,7.5,1.8,0.9,1.2,15.2,1
Jordan Geist,MU,32,33.8,4.8,11,0.44,2,5.8,0.353,3.1,4.1,0.758,2.2,1.8,0.8,3.8,4.6,3,1.1,0,14.8,0
Tyler Herro,UK,37,32.6,5,10.9,0.462,1.6,4.6,0.355,2.4,2.5,0.935,1.6,1.3,0.4,4.1,4.5,2.5,1.1,0.3,14,1
Savion Flagg,TAMU,32,34.8,5.3,11.4,0.467,1.4,4.2,0.338,1.8,2.7,0.663,2.6,1.3,2.1,5.6,7.7,2.3,0.7,0.3,13.9,0
Isaiah Joe,U of A,34,30.1,4.4,10.5,0.413,3.3,8,0.414,1.8,2.4,0.756,1.2,1.9,0.6,2.2,2.8,1.8,1.5,0.1,13.9,0
Mason Jones,U of A,34,29.3,4,9.9,0.404,2.2,6.1,0.365,3.4,4.2,0.804,1.8,2.3,0.5,3.4,3.9,2.7,0.9,0.2,13.6,0
Naz Reid,LSU,34,27.2,5,10.7,0.468,0.8,2.5,0.333,2.7,3.8,0.727,2.5,3.2,2.5,4.7,7.2,0.9,0.7,0.7,13.6,0
"Kira Lewis, Jr.",UA,34,31.6,4.6,10.7,0.431,1.6,4.4,0.358,2.6,3.4,0.783,2.2,1.8,0.4,2.2,2.6,2.9,0.8,0.3,13.5,0
Jordan Bone,UT,37,32.9,5,10.8,0.465,1.4,3.8,0.355,2.1,2.5,0.835,2,1.3,0.5,2.7,3.2,5.8,0.7,0.1,13.5,1
Keldon Johnson,UK,37,30.7,4.6,10.1,0.461,1.2,3.2,0.381,2.9,4.2,0.703,1.6,2.2,1.3,4.5,5.9,1.6,0.8,0.2,13.5,1
Skylar Mays,LSU,35,33.1,4.1,9.7,0.421,1.6,5,0.312,3.7,4.3,0.86,1.2,1.7,0.4,2.9,3.3,2.1,1.9,0.2,13.4,0
A.J. Lawson,USC,29,30.5,4.5,10.9,0.411,1.7,4.6,0.358,2.8,4.1,0.667,2.6,2,0.9,3.4,4.3,2.9,1.1,0.2,13.4,0
Wendell Mitchell,TAMU,29,30.7,4.4,11.2,0.394,1.9,5.6,0.342,2.3,2.7,0.835,2.6,2.3,0.9,3.3,4.2,2.3,1.8,0.1,13,0
Nicolas Claxton,UGA,32,31.6,4.3,9.3,0.46,0.6,2,0.281,3.8,6,0.641,2.1,2.8,2.2,6.3,8.6,1.8,1.1,2.5,13,1
Saben Lee,VU,32,32.6,3.9,8.5,0.46,0.8,2.2,0.362,4.1,6.1,0.675,2.8,1.9,0.4,2.9,3.3,3.8,1,0.2,12.7,0
T.J. Starks,TAMU,27,27.5,4.5,12.3,0.366,1,4.6,0.224,2.3,3.5,0.649,3.8,2.3,0.5,1.7,2.2,3.5,1.2,0,12.3,0
Rayshaun Hammonds,UGA,28,24.3,4.2,8.6,0.492,0.9,2.5,0.366,2.7,3.3,0.806,2.4,3.2,1.7,4.4,6.1,1.6,0.9,0.4,12.1,0
Chuma Okeke,AU,38,29.1,4.4,8.9,0.496,1.4,3.7,0.387,1.7,2.4,0.722,1.7,1.9,2.8,4.1,6.8,1.9,1.8,1.2,12,1
Lamar Peters,MSU,34,30,4,10.1,0.398,2.5,6.6,0.386,1.3,2.1,0.643,3,2.9,0.5,1.4,2,5.2,1.7,0,11.9,0
Kevaughn Allen,UF,36,30.7,3.8,9.6,0.389,1.7,5.3,0.326,2.6,2.9,0.887,1.9,1.4,0.2,2.5,2.8,2.1,1.4,0.2,11.8,0
Hassani Gravett,USC,32,29.6,3.8,9.1,0.418,2,5.1,0.399,1.8,2.3,0.767,1.7,2.3,0.6,3.2,3.8,2.4,0.8,0.2,11.4,0
Reid Travis,UK,32,28.5,3.9,7.2,0.537,0.2,0.8,0.269,3.2,4.4,0.732,1.6,2.5,2.7,4.4,7.2,0.9,0.4,0.7,11.2,0
Ja'Vonte Smart,LSU,34,29.9,3.9,10.5,0.368,1.2,3.9,0.311,2.1,2.6,0.839,1.9,1.7,0.4,2.8,3.3,2.4,1.3,0.1,11.1,0
Aaron Nesmith,VU,32,29,3.6,9.1,0.392,1.8,5.5,0.337,2.1,2.5,0.825,1.6,3.1,1.1,4.5,5.5,1.4,0.7,0.6,11,0
Simi Shittu,VU,32,26.7,4.1,8.8,0.468,0,0.6,0.056,2.7,4.7,0.576,2.9,2.3,1.6,5.1,6.7,1.8,0.7,0.5,10.9,0
Lamonte Turner,UT,28,31,3.9,9.2,0.42,1.8,5.5,0.32,1.4,1.8,0.784,1.5,2.5,0.3,2.4,2.7,3.8,1.2,0.1,10.9,0
Jordan Bowden,UT,36,27.8,3.6,7.8,0.459,1.4,3.8,0.378,2.1,2.6,0.817,1,2.1,0.6,2.9,3.5,1.9,0.9,0.3,10.6,0
Donta Hall,UA,34,26.8,3.9,6.3,0.617,0,0,1,2.6,3.6,0.718,1.1,1.8,2.7,6.1,8.8,0.5,0.5,1.6,10.5,0
Tyson Carter,MSU,34,25.6,3.8,8.6,0.447,1.8,4.8,0.366,0.9,1.2,0.8,1,1.5,0.1,1.9,2,1.5,1.2,0,10.4,0
Devontae Shuler,UM,33,32.2,3.6,7.9,0.458,1.5,3.8,0.402,1.5,1.9,0.823,1.8,1.5,0.8,3.4,4.2,3,1.7,0.2,10.3,0
"John Petty, Jr.",UA,34,28.9,3.5,8.4,0.413,1.7,5,0.345,1.6,2.2,0.707,2,1.1,0.7,3.5,4.2,1.9,0.5,0.4,10.2,0
Jeremiah Tilmon,MU,31,24.2,4.1,7.5,0.545,0,0,0,2,2.9,0.681,2.2,3.6,2.4,3.5,5.9,0.6,0.5,0.8,10.1,0
Reggie Perry,MSU,34,23.9,3.5,6.9,0.502,0.3,1.1,0.282,2.4,3.4,0.716,1.5,2.9,2.6,4.6,7.2,0.6,0.6,0.7,9.7,0
Nick Weatherspoon,MSU,24,27.8,3.7,7.8,0.476,0.8,2.2,0.385,1.4,2,0.708,1.3,2,0.2,2.6,2.8,2.3,1.2,0.2,9.7,0
Derek Ogbeide,UGA,32,21.1,3.8,7.2,0.53,0,0,0,2,3.3,0.619,1.7,2.1,1.5,4.2,5.7,0.8,0.5,0.6,9.7,0
Aric Holman,MSU,34,24.4,3.4,7.2,0.473,1.3,3.1,0.429,1.4,2,0.701,1.5,1.8,2.1,4,6.2,1.2,0.9,1.6,9.5,0
Noah Locke,UF,36,25.4,3.1,8.4,0.375,2.2,5.9,0.379,0.9,1.1,0.775,0.4,1.3,0.6,1.7,2.3,0.6,0.4,0,9.4,0
Jalen Hudson,UF,36,22.5,3.1,8.7,0.355,1.2,4.4,0.28,1.9,2.6,0.72,1,1.9,0.8,2.1,2.9,0.9,0.7,0.2,9.2,0
Tyree Crump,UGA,32,20.3,2.8,7.6,0.374,2,5.8,0.348,1.5,1.9,0.783,1.5,1.4,0.2,1.5,1.7,1.5,0.4,0,9.2,0
Tevin Mack,UA,34,20.6,3.4,8.1,0.417,1.4,4.2,0.333,0.8,1.5,0.56,1.4,1.6,0.9,2.4,3.3,0.8,0.3,0.5,9,0
Keyshawn Bryant,USC,32,23.8,3.7,8.2,0.454,0.2,0.9,0.207,1.3,2.3,0.573,2,2.3,1.1,2.7,3.8,1.4,0.7,0.5,9,0
Bruce Stevens,UM,33,20.4,3.2,6.4,0.505,0.8,2.5,0.325,1.2,1.4,0.867,1.1,2.5,1.3,3.1,4.4,0.8,0.6,0.4,8.5,0
Kevarrius Hayes,UF,36,25,3.1,4.7,0.673,0,0,0,2.1,3.1,0.667,1.5,2.7,2.8,3.5,6.2,0.7,1,1.9,8.3,0
Christian Mekowulu,TAMU,32,21.4,2.8,6.1,0.469,0.1,0.3,0.273,2.5,3.6,0.702,1,2.7,2.6,3.8,6.4,0.5,0.3,1,8.3,0
J.J. Chandler,TAMU,31,23.7,2.9,6.6,0.442,0.6,2.1,0.297,1.8,2.5,0.705,1.5,2.7,0.7,2.5,3.2,1.3,1.3,0.2,8.3,0
Blake Hinson,UM,32,24,2.8,6.8,0.406,1.4,4.1,0.348,1.3,1.8,0.737,0.9,2.8,0.7,2.2,2.9,1.1,0.5,0.3,8.2,0
Matt Ryan,VU,29,24.9,2.6,7.6,0.347,2,6.2,0.328,0.8,1.1,0.75,1.1,2,0.4,2.3,2.7,0.9,0.3,0.1,8.1,0
Josh Nebo,TAMU,30,19.6,3.1,4.4,0.699,0,0,0,1.9,2.7,0.695,0.9,1.7,2.2,3.2,5.3,0.3,0.2,2.3,8.1,0
Keyontae Johnson,UF,36,23.8,3.1,6.6,0.47,0.6,1.8,0.365,1.2,1.9,0.643,1.3,2.3,1.9,4.5,6.4,1.2,1.1,0.3,8.1,0
Andrew Nembhard,UF,36,32.9,2.9,7.1,0.414,1,2.8,0.347,1.2,1.5,0.764,2.1,1.7,0.2,2.7,2.9,5.4,1.2,0.1,8,0
Kavell Bigby-Williams,LSU,35,21.2,3.2,5.1,0.617,0,0,0,1.5,2.6,0.576,0.8,2.9,2.9,3.8,6.7,0.5,0.3,1.9,7.9,0
Jordan Harris,UGA,29,19.9,2.6,5.3,0.487,0.8,1.8,0.415,1.9,2.2,0.844,1.8,1.9,1,2.7,3.6,1.5,1.1,0.5,7.8,0
Javon Pickett,MU,31,26.1,3,8.3,0.366,1.1,3.4,0.314,0.6,1.2,0.528,1.5,2.4,1.1,2.3,3.3,1.5,0.7,0.1,7.7,0
Ashton Hagans,UK,37,28.5,2.7,5.8,0.467,0.4,1.4,0.275,1.9,2.5,0.761,2.5,2,0.6,2,2.6,4.3,1.6,0.1,7.7,0
Jalen Harris,U of A,34,30.8,2.5,7.3,0.341,0.2,2,0.116,2.4,3.5,0.689,1.9,2.2,0.5,2.4,2.9,5.4,1.1,0.2,7.6,0
Justin Minaya,USC,5,25.6,3,6.6,0.455,0.4,3,0.133,1,1.4,0.714,0.8,3.6,2,3.6,5.6,1.6,0.6,0.4,7.4,0
Kyle Alexander,UT,37,23.8,2.9,4.8,0.616,0.1,0.2,0.429,1.4,2.1,0.658,1.2,2.7,2.6,4.1,6.7,0.5,0.5,1.7,7.4,0
Samir Doughty,AU,40,24.2,2.5,5.3,0.458,1.1,2.6,0.425,1.3,1.6,0.785,1.4,2.2,1.1,2.4,3.5,1.7,1.4,0.1,7.3,0
Tre Campbell,USC,32,26.9,2.3,7.1,0.326,1.6,4.2,0.37,0.9,1.2,0.789,1.2,1.3,0.3,1.4,1.7,2.7,1,0.1,7.1,0
Kevin Puryear,MU,32,23.3,2.5,6.1,0.415,0.6,1.8,0.322,1.4,1.9,0.767,1.3,2.2,1.5,3.3,4.8,1.2,0.4,0.1,7.1,0
Dazon Ingram,UA,32,22.2,2.1,4.6,0.453,0.5,1.3,0.381,2.4,3.3,0.71,2,2.6,0.8,2.9,3.8,2.6,0.5,0.1,7.1,0
Torrance Watson,MU,32,22.8,2.3,6.2,0.365,1.7,4.6,0.361,0.8,1.2,0.692,0.8,1.6,0.3,1.2,1.5,0.5,0.2,0.1,7.1,0
Emmitt Williams,LSU,34,19.7,2.6,4.3,0.614,0,0.2,0.167,1.7,2.5,0.686,1.1,1.9,2.6,2.8,5.4,0.4,0.3,0.6,7,0
Joe Toye,VU,32,24.1,2.3,6.4,0.363,1.1,3.9,0.282,1.2,1.8,0.684,1.2,1.7,0.8,2,2.7,0.7,0.6,0.3,6.9,0
Maik Kotsar,USC,30,23.3,2.8,6.4,0.438,0.1,0.2,0.5,1,2.3,0.443,1.2,2.9,1.7,3,4.7,0.9,1,0.9,6.7,0
Anfernee McLemore,AU,40,19.1,2.5,5.6,0.453,0.9,2.8,0.33,0.7,1.2,0.617,0.8,3,1,3,4,0.2,0.7,1.1,6.7,0
Marlon Taylor,LSU,35,23.4,2.3,5,0.463,0.4,1.7,0.254,1.6,2.4,0.675,1.1,1.9,1.3,2.3,3.6,0.6,0.7,0.2,6.7,0
Malik Dunbar,AU,39,17.9,2.4,5.4,0.434,1.1,3.2,0.339,0.8,1.4,0.611,0.9,1.8,0.7,2.5,3.2,0.6,0.8,0.4,6.6,0
Xavier Pinson,MU,31,18.4,2,4.9,0.412,0.8,2.1,0.4,1.7,2.2,0.779,2.3,2,0.7,1.9,2.6,2.3,0.6,0,6.6,0
Teshaun Hightower,UGA,29,17.4,2.2,5.4,0.404,0.8,2.8,0.287,1.4,2,0.712,1.8,1,0.3,1.6,1.9,1.5,0.5,0,6.6,0
Herb Jones,UA,34,21.1,2.3,5.5,0.422,0.2,0.6,0.286,1.5,3.1,0.495,2,2.8,1.1,2.4,3.5,2,0.9,0.6,6.4,0
Felipe Haase,USC,32,23.5,1.9,4.8,0.405,1,2.5,0.412,1.4,1.8,0.821,1.5,2.5,1.4,2.4,3.8,1.1,0.5,0.3,6.3,0
Riley Norris,UA,26,20,2,5,0.397,1.1,3.2,0.345,1.2,1.6,0.756,0.5,1.8,1.2,2.5,3.8,0.7,0.6,0.2,6.3,0
T.J. Moss,USC,7,20.6,2.3,5.9,0.39,1.1,3.4,0.333,0.6,0.9,0.667,2,1.1,0,1.9,1.9,1.9,0.6,0,6.3,0
Keith Stone,UF,17,19.2,2,5.1,0.391,0.9,2.2,0.405,1.2,1.9,0.606,1.4,2,1.2,2.7,3.9,0.6,0.8,0.5,6.1,0
K.J. Buffen,UM,33,20.9,2.1,4.4,0.472,0.1,0.5,0.25,1.8,2.5,0.69,1.7,2.5,1.5,2.8,4.4,1.2,0.8,0.5,6,0
Yanni Wetzell,VU,32,18.5,2.1,4.3,0.496,0.3,1.1,0.265,1.4,1.8,0.763,1.5,2.4,1.2,2.6,3.8,0.3,0.7,0.6,5.9,0
Brandon Mahan,TAMU,32,22.5,1.9,4.9,0.395,1.3,3.5,0.384,0.7,1.1,0.618,0.7,1.7,0.6,2.2,2.8,0.7,0.6,0.2,5.9,0
Will Jackson,UGA,32,23.8,1.8,5.2,0.341,1.2,3.8,0.314,0.8,1.1,0.794,1.3,1.7,0.5,1.3,1.8,2.1,0.6,0.2,5.6,0
Adrio Bailey,U of A,34,18.6,2.2,5,0.444,0.1,0.4,0.167,1.1,1.7,0.632,0.8,2.6,0.8,2.1,2.9,0.7,0.7,0.7,5.6,0
Robert Woodard II,MSU,34,17.5,2.1,4.6,0.468,0.4,1.3,0.273,0.9,1.5,0.58,0.6,1.1,1.4,2.7,4.1,0.7,0.5,0.5,5.5,0
Reggie Chaney,U of A,34,16.3,2.4,4.4,0.553,0,0,0,0.5,1,0.515,1.4,2.4,1.2,2.3,3.5,0.7,0.6,1.3,5.4,0
Dominik Olejniczak,UM,33,18.3,2.2,3.8,0.575,0,0,0,0.9,1.2,0.763,1,2.5,1.2,1.8,3,0.7,0.5,0.9,5.3,0
Desi Sills,U of A,34,16.9,1.6,3.7,0.44,0.9,1.9,0.46,1.2,1.7,0.702,1.6,2,0.4,0.9,1.3,1.7,0.6,0,5.3,0
Immanuel Quickley,UK,37,18.5,1.5,4,0.372,0.8,2.4,0.345,1.4,1.7,0.828,0.9,1.2,0.1,1.7,1.8,1.2,0.4,0,5.2,0
Abdul Ado,MSU,31,24,1.6,2.7,0.614,0,0,0,1.4,2.2,0.623,1.1,2.8,1.7,2.8,4.5,0.4,0.6,1.8,4.7,0
Daryl Edwards,LSU,9,17.1,1.4,3.7,0.394,0.7,2.2,0.3,0.9,1.2,0.727,1.3,1.1,0.4,1.1,1.6,1.2,0.3,0.1,4.4,0
Horace Spencer,AU,40,15.6,1.6,3.6,0.458,0.1,0.5,0.158,0.8,1.5,0.567,0.9,2.7,2,2,4,0.4,0.9,0.8,4.2,0
E.J. Montgomery,UK,37,15.1,1.6,3.4,0.48,0.1,0.3,0.2,0.5,0.8,0.567,0.8,2.1,1.7,2.4,4.1,0.4,0.4,1,3.8,0
